month,value
2020-01,1.02
2020-02,1.0462
2020-03,1.0531
2020-04,1.0638
2020-05,1.0755
2020-06,1.06
2020-07,1.0062
2020-08,0.9438
2020-09,0.9145
2020-10,0.9262
2020-11,0.9507
2020-12,0.9662
2021-01,0.9838
2021-02,1.0238
2021-03,1.0755
2021-04,1.1
2021-05,1.0755
2021-06,1.0238
2021-07,0.9838
2021-08,0.9662
2021-09,0.9507
2021-10,0.9262
2021-11,0.9145
2021-12,0.9438
2022-01,1.0062
2022-02,1.06
2022-03,1.0755
2022-04,1.0638
2022-05,1.0531
2022-06,1.0462
2022-07,1.02
2022-08,0.9662
2022-09,0.9145
2022-10,0.9038
2022-11,0.9369
2022-12,0.98
2023-01,1.0062
2023-02,1.0238
2023-03,1.0531
2023-04,1.0862
2023-05,1.0893
2023-06,1.0462
2023-07,0.9838
2023-08,0.9438
2023-09,0.9369
2023-10,0.94
2023-11,0.9369
2023-12,0.9438
